feature,importance,rank,selected
SLogP,0.09218067,1,True
FilterItLogS,0.005604978,1,True
nAcid,0.0055881636,1,True
SaaCH,0.0050436608,255,False
ZMIC2,0.0048877243,1,True
MATS1Z,0.004848298,1,True
MATS2d,0.004735646,1,True
AATS1se,0.0045873574,1,True
CIC3,0.0042988444,159,False
AATS0se,0.0041709235,1,True
MATS1m,0.0040061465,1,True
ZMIC1,0.003951323,1,True
ATSC4s,0.003943536,1,True
Xpc-4d,0.0039122896,446,False
nBondsM,0.003882739,1,True
Xp-5d,0.0038514126,472,False
piPC1,0.00385129,292,False
SaaNH,0.003791526,1,True
MIC0,0.0037546323,1,True
EState_VSA5,0.0037492241,1,True
NssssN,0.00374288,1,True
NsssN,0.0037093577,389,False
ATS7s,0.0036365602,121,False
AATS0Z,0.0036331862,206,False
ATS3Z,0.0035939696,503,False
SsNH2,0.003571409,1,True
SlogP_VSA8,0.003558832,1,True
TopoPSA,0.0035575817,1,True
AATSC1pe,0.0035462463,2,False
Kier1,0.003513869,34,False
SdCH2,0.003504582,1,True
nN,0.0034928226,1,True
IC5,0.003478359,1,True
GATS2pe,0.003474805,243,False
ATS1m,0.0034573663,112,False
nBase,0.003447265,1,True
NdsN,0.003435141,465,False
MATS1se,0.0034193017,1,True
CIC2,0.003388048,2,False
piPC3,0.003383449,1,True
SssssN,0.003348866,1,True
ZMIC5,0.0033290673,257,False
AATSC1m,0.0033176066,1,True
NdssC,0.0033149656,286,False
ATSC1pe,0.0033016352,8,False
AATS0are,0.0032956616,101,False
ATS7p,0.0032519144,88,False
IC0,0.0032479526,1,True
ATS3are,0.0032227824,77,False
ATSC1v,0.0031519996,1,True
AATSC2m,0.0031418584,2,False
MATS1pe,0.003141461,1,True
AATSC1Z,0.0030852926,1,True
Xch-3d,0.0030847776,599,False
BIC2,0.0030814202,54,False
SsOH,0.00308138,5,False
fragCpx,0.0030417813,181,False
SdsssP,0.0030331777,52,False
SIC4,0.0030166216,130,False
piPC2,0.0030135752,18,False
GATS2v,0.0029831836,2,False
PEOE_VSA9,0.0029761475,43,False
VSA_EState4,0.0029754757,12,False
EState_VSA4,0.0029554253,168,False
ATS6are,0.002936052,431,False
BIC4,0.0029057714,186,False
n9FAHRing,0.002900305,306,False
AATSC2d,0.0028944311,2,False
ATS6s,0.0028852455,271,False
PEOE_VSA6,0.0028773344,40,False
nH,0.002871692,1,True
AATSC0dv,0.0028587317,1,True
piPC6,0.0028544911,2,False
PEOE_VSA2,0.0028280814,91,False
ATSC5d,0.0027993482,71,False
ATSC7Z,0.0027986995,1,True
ATSC3i,0.002797045,31,False
ATSC1m,0.0027924494,21,False
MATS1are,0.0027825437,2,False
MATS2m,0.0027817886,155,False
AATSC1dv,0.0027806694,68,False
AATS0p,0.0027768977,24,False
piPC7,0.0027759303,5,False
SdO,0.0027626469,88,False
BertzCT,0.0027596194,13,False
AATSC0are,0.0027565951,38,False
GGI3,0.00274764,198,False
NssO,0.0027389596,504,False
NaaaC,0.0027339251,588,False
