feature,importance,rank,selected
MolLogP,0.2341947,1,True
fr_COO,0.015652256,3,False
LabuteASA,0.015556619,25,False
NumAromaticRings,0.012191601,65,False
fr_Al_COO,0.012120303,1,True
fr_Ar_N,0.0110187195,1,True
NumHDonors,0.009835898,1,True
PEOE_VSA6,0.009717216,1,True
fr_Al_OH,0.009704376,89,False
VSA_EState4,0.00959729,1,True
BertzCT,0.009576305,1,True
NHOHCount,0.009200914,1,True
fr_pyridine,0.009188865,39,False
fr_Ar_NH,0.008984029,1,True
EState_VSA5,0.008979117,1,True
SlogP_VSA8,0.008930286,1,True
NumHeteroatoms,0.008367166,1,True
fr_quatN,0.008312498,1,True
Kappa3,0.008020732,1,True
FpDensityMorgan2,0.0080101965,1,True
EState_VSA8,0.007959782,1,True
HeavyAtomMolWt,0.007907524,1,True
fr_ether,0.0077078175,28,False
NumHAcceptors,0.007576011,1,True
fr_ester,0.007544621,35,False
NumAliphaticHeterocycles,0.007470634,59,False
fr_nitro_arom,0.007454577,136,False
MaxAbsEStateIndex,0.007408406,1,True
PEOE_VSA1,0.007365728,1,True
FpDensityMorgan1,0.0073241554,2,False
PEOE_VSA4,0.007276797,1,True
PEOE_VSA5,0.0072206636,79,False
NumHeterocycles,0.0072153606,67,False
NumSaturatedCarbocycles,0.007106099,70,False
SMR_VSA1,0.007057867,1,True
PEOE_VSA2,0.0069159586,1,True
NumSaturatedHeterocycles,0.0069051674,87,False
RingCount,0.0068740123,40,False
PEOE_VSA7,0.0067149266,1,True
fr_sulfonamd,0.006657012,112,False
fr_piperzine,0.0065168026,74,False
SMR_VSA4,0.006421791,1,True
PEOE_VSA13,0.006396506,1,True
fr_amidine,0.0062910584,94,False
VSA_EState7,0.0061931913,9,False
EState_VSA10,0.0061690765,48,False
fr_hdrzone,0.0061331377,17,False
SlogP_VSA12,0.0060941945,75,False
fr_aniline,0.0060287234,58,False
fr_Al_OH_noTert,0.0059958403,112,False
fr_benzene,0.00598762,85,False
SlogP_VSA1,0.005834563,1,True
Chi2v,0.0057040956,1,True
FractionCSP3,0.0056608133,2,False
SlogP_VSA3,0.005505047,52,False
Chi4v,0.0054615177,1,True
TPSA,0.005413507,1,True
fr_imidazole,0.005360567,72,False
VSA_EState5,0.005355908,1,True
SlogP_VSA2,0.005349408,6,False
Ipc,0.0052917656,63,False
fr_bicyclic,0.0052346042,48,False
SPS,0.0052179685,1,True
Phi,0.005215582,1,True
Chi0n,0.005173053,37,False
fr_unbrch_alkane,0.0051547145,31,False
VSA_EState2,0.005146771,1,True
SMR_VSA3,0.0051351343,46,False
VSA_EState10,0.0051346645,36,False
NumAtomStereoCenters,0.0051049646,34,False
PEOE_VSA12,0.0050985035,31,False
BalabanJ,0.0049438234,1,True
fr_Ar_OH,0.0049431813,95,False
VSA_EState9,0.0049323305,2,False
PEOE_VSA10,0.0049302364,6,False
